method,num_examples,exact_match,exact_match_rate,contamination_count,contamination_rate,avg_prediction_length,avg_reference_length,length_ratio,title_suffix_ok,title_suffix_total,title_suffix_rate
baseline1,50,0,0.0,1,0.02,86.36,8.06,10.714640198511166,1,27,0.037037037037037035
baseline2,50,0,0.0,0,0.0,14.76,8.06,1.8312655086848635,3,27,0.1111111111111111
baseline2_1_cot,50,1,0.02,5,0.1,13.62,8.06,1.6898263027295284,3,27,0.1111111111111111
baseline3,50,1,0.02,2,0.04,8.14,8.06,1.0099255583126552,13,27,0.48148148148148145
baseline3_1_unk,50,3,0.06,3,0.06,8.46,8.06,1.0496277915632755,17,27,0.6296296296296297
baseline3_2_multitask,50,5,0.1,1,0.02,8.86,8.06,1.0992555831265507,19,27,0.7037037037037037
baseline3_3_semantic,50,1,0.02,3,0.06,8.48,8.06,1.0521091811414391,15,27,0.5555555555555556
frontier_deepseek_v32_fewshot_cot,50,12,0.24,0,0.0,7.68,8.06,0.9528535980148882,24,27,0.8888888888888888
final,50,0,0.0,17,0.34,38.22,8.06,4.741935483870967,20,27,0.7407407407407407
final_v2,50,2,0.04,9,0.18,15.14,8.06,1.878411910669975,18,27,0.6666666666666666
final_gap02_multitask_sigmoid,50,5,0.1,0,0.0,14.0,8.06,1.7369727047146402,19,27,0.7037037037037037
final_gap02_multitask_robustwpo,50,4,0.08,7,0.14,12.74,8.06,1.5806451612903225,23,27,0.8518518518518519
final_gap04_multitask_sigmoid,50,5,0.1,2,0.04,9.04,8.06,1.1215880893300247,22,27,0.8148148148148148
final_gap04_multitask_robustwpo,50,5,0.1,2,0.04,10.14,8.06,1.2580645161290323,22,27,0.8148148148148148
final_gap02_multitask_robustwpo_titleclean,50,4,0.08,0,0.0,9.94,8.06,1.2332506203473943,23,27,0.8518518518518519
human_reference,50,50,1.0,0,0.0,8.06,8.06,1.0,27,27,1.0
